no,name,color,type,energyColor,energyAny,ap,bp,gen,traits,trigger,text
SMP-1-001,見習い剣士,赤,キャラ,0,0,0,1000,1,剣士,,
SMP-1-002,街の斥候,赤,キャラ,0,0,0,1000,1,斥候,カラー,
SMP-1-003,炎の拳士,赤,キャラ,1,0,1,2000,1,格闘,,登場時：相手のフロントラインのBP1500以下のキャラ1枚をレストにする。
SMP-1-004,盾の守衛,赤,キャラ,1,0,1,2500,1,守衛,ドロー,
SMP-1-005,疾風の狩人,赤,キャラ,2,0,1,3000,1,狩人,,インパクト
SMP-1-006,紅蓮の剣豪,赤,キャラ,2,1,1,3500,1,剣士,スペシャル,アタック時：このキャラのBPを＋500する。
SMP-1-007,不屈の隊長,赤,キャラ,3,0,2,4000,1,隊長,,ダメージ2
SMP-1-008,終焉の覇王,赤,キャラ,3,2,2,5000,2,覇王,ファイナル,登場時：相手のキャラ1枚をサイドラインに置く。
SMP-1-009,静かな治療師,赤,キャラ,1,0,1,1500,1,治療,アクティブ,
SMP-1-010,鋼鉄の兵士,赤,キャラ,1,1,1,3000,1,兵士,,ステップ
SMP-1-011,見張りの少年,赤,キャラ,0,0,0,500,1,少年,ドロー,
SMP-1-012,旅の商人,赤,キャラ,0,0,0,1000,2,商人,,エナジーラインにいる限り発生エナジー＋1
SMP-1-013,古城の広間,赤,フィールド,1,0,1,0,1,拠点,,自分のキャラすべてのBPを＋500する。
SMP-1-014,決意の一撃,赤,イベント,1,0,1,0,0,,,自分のキャラ1枚のBPを＋2000する。
SMP-1-015,緊急招集,赤,イベント,0,0,1,0,0,,カラー,カードを2枚引く。
SMP-1-016,煌めく反撃,赤,イベント,2,0,1,0,0,,スペシャル,相手のフロントラインのキャラ1枚をサイドラインに置く。
SMP-1-017,覚醒した剣豪,赤,キャラ,2,1,1,4000,1,剣士,レイド,レイド：紅蓮の剣豪／登場時：カードを1枚引く。
SMP-1-018,竜騎兵,赤,キャラ,2,0,1,3000,1,騎兵,ゲット,狙い撃ち
SMP-1-019,森の弓兵,赤,キャラ,1,0,1,2000,1,弓兵,,
SMP-1-020,黎明の魔術師,赤,キャラ,2,0,2,2500,1,魔術,,起動メイン：APを1支払う／カードを1枚引く。
SMP-AP-01,アクションポイント,,AP,0,0,0,0,0,,,
